# Iteration	Res_rho	Res_rhou	Res_rhov	Res_rhoE
1.780000e+02	3.728735e-03	6.159333e-03	7.301971e-03	3.144894e-03
1.790000e+02	3.689200e-03	6.056659e-03	7.202728e-03	3.114376e-03
1.800000e+02	3.660003e-03	5.886937e-03	7.137045e-03	3.086574e-03
1.810000e+02	3.609054e-03	5.734730e-03	7.029621e-03	3.045527e-03
1.820000e+02	3.555848e-03	5.740841e-03	6.949053e-03	2.997902e-03
1.830000e+02	3.513180e-03	5.737533e-03	6.856088e-03	2.946962e-03
1.840000e+02	3.491657e-03	5.727083e-03	6.765218e-03	2.932868e-03
1.850000e+02	3.488653e-03	6.686942e-03	6.698115e-03	2.927184e-03
1.860000e+02	3.463067e-03	9.253985e-03	6.597200e-03	2.908978e-03
1.870000e+02	3.445378e-03	1.202111e-02	6.502699e-03	2.891175e-03
1.880000e+02	3.412015e-03	1.497810e-02	6.447674e-03	2.865657e-03
1.890000e+02	3.376639e-03	1.810691e-02	6.361752e-03	2.833243e-03
1.900000e+02	3.331012e-03	2.138135e-02	6.281164e-03	2.796665e-03
1.910000e+02	3.275643e-03	2.476692e-02	6.197107e-03	2.747767e-03
1.920000e+02	3.259401e-03	2.822119e-02	6.473737e-03	3.291302e-03
1.930000e+02	3.244648e-03	3.169449e-02	6.782700e-03	6.176478e-03
1.940000e+02	3.856623e-03	3.513117e-02	7.071194e-03	9.078199e-03
1.950000e+02	6.481887e-03	3.847122e-02	7.332656e-03	1.195741e-02
1.960000e+02	9.065868e-03	4.165233e-02	7.560433e-03	1.477258e-02
1.970000e+02	1.157217e-02	4.461204e-02	7.748097e-03	1.748105e-02
1.980000e+02	1.396423e-02	4.729017e-02	7.889804e-03	2.004042e-02
1.990000e+02	1.620659e-02	4.963119e-02	7.980670e-03	2.241014e-02
2.000000e+02	1.826627e-02	5.158668e-02	8.017129e-03	2.455310e-02
2.010000e+02	2.011410e-02	5.311764e-02	7.997209e-03	2.643717e-02
2.020000e+02	2.172601e-02	5.419659e-02	7.920716e-03	2.803675e-02
2.030000e+02	2.308426e-02	5.480924e-02	7.789300e-03	2.933405e-02
2.040000e+02	2.417816e-02	5.495547e-02	7.606357e-03	3.031991e-02
2.050000e+02	2.500460e-02	5.464958e-02	7.376716e-03	3.099425e-02
2.060000e+02	2.556797e-02	5.391954e-02	7.106366e-03	3.136591e-02
2.070000e+02	2.587977e-02	5.280557e-02	6.802044e-03	3.145199e-02
2.080000e+02	2.595774e-02	5.135795e-02	6.470868e-03	3.127672e-02
2.090000e+02	2.582468e-02	4.963417e-02	6.181680e-03	3.086996e-02
2.100000e+02	2.550702e-02	4.769589e-02	5.877024e-03	3.026539e-02
2.110000e+02	2.503330e-02	4.560574e-02	5.559578e-03	2.949863e-02
2.120000e+02	2.443254e-02	4.342415e-02	5.235545e-03	2.860532e-02
2.130000e+02	2.373276e-02	4.120654e-02	4.910314e-03	2.761936e-02
2.140000e+02	2.295968e-02	3.900098e-02	4.717480e-03	2.657133e-02
2.150000e+02	2.213577e-02	3.684656e-02	4.639892e-03	2.548745e-02
2.160000e+02	2.127959e-02	3.477261e-02	4.597812e-03	2.438888e-02
2.170000e+02	2.040565e-02	3.279865e-02	4.561685e-03	2.329156e-02
2.180000e+02	1.952459e-02	3.093519e-02	4.506541e-03	2.220655e-02
2.190000e+02	1.864365e-02	2.918511e-02	4.436037e-03	2.114066e-02
2.200000e+02	1.776742e-02	2.754543e-02	4.392721e-03	2.009740e-02
2.210000e+02	1.689851e-02	2.600913e-02	4.354901e-03	1.907792e-02
2.220000e+02	1.603841e-02	2.456695e-02	4.309073e-03	1.808199e-02
2.230000e+02	1.518809e-02	2.320901e-02	4.239204e-03	1.710883e-02
2.240000e+02	1.434858e-02	2.192602e-02	4.189296e-03	1.615782e-02
2.250000e+02	1.352128e-02	2.071016e-02	4.163911e-03	1.522892e-02
2.260000e+02	1.270814e-02	1.955549e-02	4.118360e-03	1.432289e-02
2.270000e+02	1.191166e-02	1.845791e-02	4.059724e-03	1.344123e-02
2.280000e+02	1.113466e-02	1.741491e-02	4.004849e-03	1.258602e-02
2.290000e+02	1.038003e-02	1.642498e-02	3.976972e-03	1.175955e-02
2.300000e+02	9.650405e-03	1.548695e-02	3.942279e-03	1.096392e-02
2.310000e+02	8.947852e-03	1.459941e-02	3.885069e-03	1.020071e-02
2.320000e+02	8.273647e-03	1.376019e-02	3.821961e-03	9.470648e-03
2.330000e+02	7.628172e-03	1.296606e-02	3.804271e-03	8.773523e-03
2.340000e+02	7.010935e-03	1.221276e-02	3.769627e-03	8.108175e-03
2.350000e+02	6.420743e-03	1.149521e-02	3.722597e-03	7.472695e-03
2.360000e+02	5.855934e-03	1.080798e-02	3.655431e-03	6.864710e-03
2.370000e+02	5.314652e-03	1.014578e-02	3.634709e-03	6.281699e-03
2.380000e+02	4.795113e-03	9.503919e-03	3.610160e-03	5.721303e-03
2.390000e+02	4.295809e-03	8.878676e-03	3.566748e-03	5.181569e-03
2.400000e+02	3.815625e-03	8.267485e-03	3.504256e-03	4.661078e-03
2.410000e+02	3.353872e-03	7.668954e-03	3.476414e-03	4.158980e-03
2.420000e+02	2.910250e-03	7.082747e-03	3.454287e-03	3.674938e-03
2.430000e+02	2.484734e-03	6.509308e-03	3.417759e-03	3.208984e-03
2.440000e+02	2.187492e-03	5.949533e-03	3.364147e-03	2.761342e-03
2.450000e+02	2.172541e-03	5.404413e-03	3.322034e-03	2.332235e-03
2.460000e+02	2.171157e-03	4.874713e-03	3.307634e-03	1.921712e-03
2.470000e+02	2.157060e-03	4.360684e-03	3.276992e-03	1.762087e-03
2.480000e+02	2.153217e-03	3.861906e-03	3.229072e-03	1.757274e-03
2.490000e+02	2.135578e-03	3.377256e-03	3.174479e-03	1.743750e-03
2.500000e+02	2.125649e-03	2.995104e-03	3.164828e-03	1.735023e-03
2.510000e+02	2.103960e-03	2.990093e-03	3.139734e-03	1.716880e-03
2.520000e+02	2.086287e-03	2.981340e-03	3.098907e-03	1.702766e-03
2.530000e+02	2.058888e-03	2.972627e-03	3.042413e-03	1.678970e-03
2.540000e+02	2.039926e-03	2.956855e-03	3.029622e-03	1.659557e-03
2.550000e+02	2.041142e-03	2.934990e-03	3.010530e-03	1.660130e-03
2.560000e+02	2.030613e-03	2.907726e-03	2.976106e-03	1.650159e-03
2.570000e+02	2.024528e-03	2.872319e-03	2.926834e-03	1.647266e-03
2.580000e+02	2.012236e-03	2.819983e-03	2.898622e-03	1.635811e-03
2.590000e+02	1.999568e-03	2.781157e-03	2.884529e-03	1.627204e-03
2.600000e+02	1.983679e-03	2.774755e-03	2.855546e-03	1.612823e-03
2.610000e+02	1.964541e-03	2.768002e-03	2.812208e-03	1.598575e-03
2.620000e+02	1.943432e-03	2.758458e-03	2.775320e-03	1.580009e-03
2.630000e+02	1.923941e-03	2.743074e-03	2.763840e-03	1.559455e-03
2.640000e+02	1.920173e-03	2.723187e-03	2.741322e-03	1.557309e-03
2.650000e+02	1.914786e-03	2.699461e-03	2.705672e-03	1.551589e-03
